id,category,title,content,source
PRIV-001,Privacidad,Tratamiento de datos personales,"Clínica Horizonte utiliza los datos de identificación, contacto y atención únicamente para gestionar citas, prestar servicios y cumplir obligaciones administrativas. No vende ni comparte datos con fines publicitarios.",Política de Privacidad v1.0
PRIV-002,Privacidad,Acceso al expediente,"El paciente puede solicitar acceso o corrección de sus datos mediante una solicitud escrita en recepción y la verificación de su identidad. La clínica responde por el canal de contacto registrado.",Política de Privacidad v1.0
PRIV-003,Privacidad,Confidencialidad y terceros,"La información del paciente solo se entrega a la persona titular o a un representante autorizado por escrito. Las excepciones se limitan a obligaciones legales aplicables.",Política de Privacidad v1.0
PRIV-004,Privacidad,Conservación y seguridad,"Los registros se conservan durante el periodo administrativo definido por la clínica y se protegen mediante controles de acceso. Para dudas o solicitudes de privacidad se debe contactar a recepción.",Política de Privacidad v1.0
APT-001,Citas,Cómo solicitar una cita,"Las citas de Clínica Horizonte pueden solicitarse por teléfono o directamente en recepción. Se requiere el nombre completo, un dato de contacto y el tipo de consulta solicitada.",Preguntas Frecuentes de Citas v1.0
APT-002,Citas,Confirmación de la cita,"La cita queda confirmada cuando el paciente recibe una confirmación de recepción. Se recomienda verificar la fecha y la hora indicadas en el mensaje de confirmación.",Preguntas Frecuentes de Citas v1.0
APT-003,Citas,Llegada a la clínica,"Para una primera consulta se recomienda llegar 20 minutos antes. Para consultas de seguimiento se recomienda llegar 10 minutos antes.",Preguntas Frecuentes de Citas v1.0
APT-004,Citas,Documentos para la cita,"El paciente debe llevar un documento de identidad, la confirmación de la cita, su tarjeta o constancia de seguro cuando corresponda y los documentos solicitados previamente por la clínica.",Preguntas Frecuentes de Citas v1.0
CANCEL-001,Cancelaciones,Plazo para cancelar,"Las cancelaciones deben comunicarse con al menos 24 horas de anticipación por teléfono o en recepción. Esto permite ofrecer el espacio a otro paciente.",Política de Cancelación y Reprogramación v1.0
CANCEL-002,Reprogramaciones,Cambio de fecha,"Una cita puede reprogramarse por teléfono o en recepción y está sujeta a disponibilidad. La nueva fecha solo queda reservada después de recibir la confirmación.",Política de Cancelación y Reprogramación v1.0
CANCEL-003,Cancelaciones,Llegadas tardías,"Si el paciente llega más de 15 minutos tarde, la clínica puede necesitar reprogramar la cita para no afectar a los demás pacientes. Recepción confirmará si aún es posible atenderle.",Política de Cancelación y Reprogramación v1.0
CANCEL-004,Cancelaciones,Ausencia sin aviso,"Una ausencia sin aviso queda registrada. Si existen ausencias repetidas, recepción puede solicitar confirmación adicional antes de reservar una nueva cita.",Política de Cancelación y Reprogramación v1.0
INS-001,Seguro,Verificación de cobertura,"La aceptación de un seguro no garantiza que todos los servicios estén cubiertos. El paciente debe confirmar con su aseguradora la red, los límites, las exclusiones y los requisitos de autorización.",Guía de Seguros y Cobertura v1.0
INS-002,Seguro,Información requerida,"Para verificar administrativamente un seguro se solicita el nombre de la aseguradora, el número de afiliación y una identificación. La verificación no sustituye la confirmación oficial de la aseguradora.",Guía de Seguros y Cobertura v1.0
INS-003,Seguro,Autorización previa,"Algunos estudios o consultas pueden requerir autorización previa. El paciente debe obtenerla de su aseguradora antes de la cita cuando su plan así lo exija.",Guía de Seguros y Cobertura v1.0
INS-004,Seguro,Servicios no cubiertos,"Los copagos, deducibles y servicios no cubiertos son responsabilidad del paciente. Recepción puede ofrecer información administrativa, pero la decisión final de cobertura corresponde a la aseguradora.",Guía de Seguros y Cobertura v1.0
PRE-001,Antes de la consulta,Preparación general,"Antes de la consulta, el paciente debe reunir los informes y resultados relacionados con el motivo de la visita y anotar sus preguntas. Debe seguir únicamente las instrucciones específicas enviadas por la clínica.",Instrucciones Pre y Posconsulta v1.0
PRE-002,Antes de la consulta,Medicamentos habituales,"El paciente puede llevar una lista actualizada de los medicamentos que utiliza, con nombre y dosis, para informar al profesional. No debe suspender ni modificar ningún medicamento salvo indicación expresa de su profesional tratante.",Instrucciones Pre y Posconsulta v1.0
PRE-003,Antes de la consulta,Ayuno y preparación especial,"No todas las consultas requieren ayuno. El paciente solo debe ayunar o realizar una preparación especial si recibió una indicación expresa de la clínica para su procedimiento.",Instrucciones Pre y Posconsulta v1.0
POST-001,Después de la consulta,Indicaciones posteriores,"Después de la consulta, el paciente debe seguir las instrucciones escritas del profesional y conservarlas para referencia. Ante dudas sobre esas indicaciones debe contactar a la clínica.",Instrucciones Pre y Posconsulta v1.0
POST-002,Después de la consulta,Resultados y seguimiento,"Recepción informará el canal previsto para comunicar resultados o coordinar un seguimiento. La disponibilidad de un resultado no implica por sí sola una interpretación clínica.",Instrucciones Pre y Posconsulta v1.0
POST-003,Después de la consulta,Señales de alarma,"Si después de una consulta el paciente presenta una situación que considera grave o una señal de alarma indicada por su profesional, debe acudir al servicio de urgencias o llamar al número local de emergencias.",Instrucciones Pre y Posconsulta v1.0
